TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD,TREESALL,TOTALDEAD,DEADPROP
16_3_43_87729_4_4,16_3_43_87729,101,87729,4,43,16,40390214010690,2012,2,2012,195364130020004,195364090020004,1,1,15.4,1,44.526852,-111.441277,171.0027,38,0,NA,0,NA,0,NA,735,257.9042,11,74,1,NA,6.018046,NA,0,NA,NA,NA,NA,415,11,3,0.2727272727272727
16_3_59_82847_3_8,16_3_59_82847,101,82847,3,59,16,11807205010690,2006,2,2006,11807256010690,11807208010690,1,1,17.8,1,44.535761,-113.638923,113.281,22,0,NA,NA,NA,NA,NA,470,192.7725,50,281,1,NA,6.018046,NA,90002,0,NA,NA,NA,413,57,31,0.543859649122807
16_3_59_83083_2_17,16_3_59_83083,101,83083,2,59,16,4731996010690,2004,2,2004,4732040010690,4731999010690,1,2,6.4,1,44.633022,-114.545347,117.7134,31,0,NA,NA,NA,NA,NA,595,245.025,47,277,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,42,20,0.47619047619047616
16_3_59_83083_3_5,16_3_59_83083,101,83083,3,59,16,4731996010690,2004,2,2004,4732047010690,4731999010690,1,2,8.6,1,44.633022,-114.545347,117.7134,31,0,NA,NA,NA,NA,NA,595,245.025,47,277,1,NA,6.018046,1999,NA,NA,NA,10,NA,413,42,20,0.47619047619047616
16_3_59_83296_2_7,16_3_59_83296,101,83296,2,59,16,5392831010690,2005,2,2005,5392863010690,5392834010690,1,1,7.3,1,44.41158,-113.323381,54.7164,NA,0,NA,NA,NA,NA,NA,470,119.8009,44,219,0.958153,NA,6.018046,NA,0,NA,NA,NA,NA,413,31,0,0
16_3_59_84145_4_11,16_3_59_84145,101,84145,4,59,16,37276022010690,2010,2,2011,50638215020004,50638197020004,2,2,22.9,1,44.807983,-114.342405,43.9665,14,12,2008,0,NA,0,NA,735,99.4732,15,263,0.25,NA,6.018046,2009,NA,NA,NA,10,NA,413,4,2,0.5
16_3_59_84377_3_28,16_3_59_84377,101,84377,3,59,16,40390856010690,2011,2,2011,51052190020004,51052114020004,1,1,6.7,1,44.563591,-113.476645,177.0331,25,0,NA,0,NA,0,NA,670,357.14,68,352,1,NA,6.018046,NA,90002,0,NA,NA,NA,413,33,6,0.18181818181818182
16_3_59_84798_3_3,16_3_59_84798,101,84798,3,59,16,12283771010690,2007,2,2007,12283799010690,12283774010690,1,2,10.7,1,44.565369,-113.616249,53.1952,NA,0,NA,NA,NA,NA,NA,470,85.0173,48,226,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,27,17,0.6296296296296297
16_3_59_85594_1_21,16_3_59_85594,101,85594,1,59,16,12284183010690,2007,2,2007,12284215010690,12284186010690,1,1,1,1,44.726163,-113.665344,128.4529,27,0,NA,NA,NA,NA,NA,735,260.5489,28,256,1,NA,74.965282,NA,NA,NA,NA,NA,NA,413,39,18,0.46153846153846156
16_3_59_85594_2_12,16_3_59_85594,101,85594,2,59,16,12284183010690,2007,2,2007,12284227010690,12284186010690,1,2,7.4,1,44.726163,-113.665344,128.4529,27,0,NA,NA,NA,NA,NA,735,260.5489,28,256,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,39,18,0.46153846153846156
16_3_59_85594_3_16,16_3_59_85594,101,85594,3,59,16,12284183010690,2007,2,2007,12284248010690,12284186010690,1,2,10.8,1,44.726163,-113.665344,128.4529,27,0,NA,NA,NA,NA,NA,735,260.5489,28,256,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,39,18,0.46153846153846156
16_3_59_85594_3_5,16_3_59_85594,101,85594,3,59,16,12284183010690,2007,2,2007,12284237010690,12284186010690,1,2,7.1,1,44.726163,-113.665344,128.4529,27,0,NA,NA,NA,NA,NA,735,260.5489,28,256,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,39,18,0.46153846153846156
16_3_59_86068_2_7,16_3_59_86068,101,86068,2,59,16,40390792010690,2013,2,2013,273523038489998,273523015489998,1,1,9.9,1,44.716882,-113.778057,69.1539,26,0,NA,0,NA,0,NA,595,120.5827,63,180,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,16,3,0.1875
16_3_59_86218_4_7,16_3_59_86218,101,86218,4,59,16,5393490010690,2005,2,2005,5393561010690,5393493010690,1,2,5.7,1,45.243109,-114.541741,201.9914,51,0,NA,NA,NA,NA,NA,735,357.6384,68,257,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,11,1,0.09090909090909091
