PLOT,SPCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,INSECT,DISEASE,FIRE,disturbance_type
88401,101,16,35370917010690,2009,2,2009,39506645010690,1,2,1,45.15799,-116.613212,74.0376,25,0,NA,NA,NA,NA,NA,735,127.2652,35,295,0.75,NA,6.018046,2008,412,1,1,1,0,0,0,None
88424,101,16,4730060010690,2004,2,2004,4730063010690,1,1,1,45.625327,-114.568991,169.2691,34,0,NA,NA,NA,NA,NA,735,356.4851,47,270,1,NA,6.018046,NA,103,16,5,0.3125,0,0,0,None
88466,101,16,40389970010690,2012,2,2012,195361309020004,1,2,1,44.45086,-114.612187,71.8096,17,0,NA,0,NA,0,NA,735,161.8121,50,358,1,NA,6.018046,NA,413,7,7,1,0,0,0,None
88476,101,16,31366619010690,2008,2,2008,31366622010690,1,1,1,46.259601,-114.860333,98.1926,43,0,NA,NA,NA,NA,NA,700,179.43,20,95,1,NA,6.018046,NA,117,1,0,0,0,0,0,None
88515,101,16,4730157010690,2004,2,2004,4730160010690,1,2,1,46.440259,-114.654109,125.7131,28,0,NA,NA,NA,NA,NA,735,266.6467,8,60,1,NA,6.018046,NA,105,1,1,1,0,0,0,None
88531,101,16,12290379010690,2007,2,2008,12290381010690,1,1,1,44.871949,-115.298802,60.0386,33,31,2003,0,NA,NA,NA,700,114.0033,40,80,1,NA,6.018046,NA,412,1,0,0,0,0,1,FIRE
88543,101,16,35372105010690,2009,2,2009,39524019010690,1,1,1,44.937637,-113.917732,160.38,32,0,NA,NA,NA,NA,NA,595,207.5753,62,265,1,NA,6.018046,NA,413,2,0,0,0,0,0,None
88547,101,16,37275485010690,2010,2,2010,42495799010690,1,2,1,43.871491,-114.821932,141.1598,45,12,9999,0,NA,0,NA,595,203.9594,67,57,0.75,NA,6.018046,2008,414,12,8,0.6666666666666666,1,0,0,INSECT
88560,101,16,37275774010690,2010,2,2010,42509590010690,1,2,1,44.620443,-115.026343,65.6011,38,0,NA,0,NA,0,NA,595,113.082,53,213,1,NA,6.018046,NA,413,5,3,0.6,0,0,0,None
88619,101,16,31369405010690,2008,2,2008,31369408010690,1,2,1,45.126319,-114.452293,0,43,0,NA,NA,NA,NA,NA,595,0,45,288,1,NA,6.018046,2002,413,10,10,1,0,0,0,None
88659,101,16,37275783010690,2010,2,2011,50635894020004,1,2,1,43.699683,-115.142805,1.8814,21,0,NA,0,NA,0,NA,735,5.214,22,15,1,NA,6.018046,NA,402,6,6,1,0,0,0,None
88704,101,16,37275901010690,2010,2,2010,42515501010690,1,2,1,45.805705,-114.556842,63.3075,25,0,NA,0,NA,0,NA,735,136.0573,85,270,1,NA,6.018046,NA,103,18,18,1,0,0,0,None
