...1,TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD
20108,16_1_49_88795_1_20,16_1_49_88795,108,88795,1,49,16,35371883010690,2009,2,2009,39520678010690,39520651010690,1,2,5,1,45.729612,-115.469588,165.7502,45,0,NA,NA,NA,NA,NA,700,355.6593,25,325,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
20153,16_1_49_88795_3_19,16_1_49_88795,108,88795,3,49,16,35371883010690,2009,2,2009,39520741010690,39520651010690,1,1,6.3,1,45.729612,-115.469588,165.7502,45,0,NA,NA,NA,NA,NA,700,355.6593,25,325,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
20243,16_1_57_83601_3_9,16_1_57_83601,108,83601,3,57,16,35372052010690,2009,2,2009,39521956010690,39521907010690,1,1,10.6,1,46.772695,-116.415502,151.0506,63,0,NA,NA,NA,NA,NA,700,288.3484,33,250,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
20378,16_1_57_87036_3_4,16_1_57_87036,108,87036,3,57,16,11806294010690,2006,2,2006,11806336010690,11806297010690,1,2,12,1,46.909518,-116.47619,141.7553,55,0,NA,NA,NA,NA,NA,735,288.0745,15,275,1,NA,6.018046,2004,NA,NA,NA,10,NA,105
20468,16_1_49_82399_4_10,16_1_49_82399,108,82399,4,49,16,31363918010690,2008,2,2008,31364006010690,31363921010690,1,1,9.5,1,45.59077,-115.468951,116.7141,44,0,NA,NA,NA,NA,NA,670,238.5906,35,120,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
20513,16_1_49_88476_4_11,16_1_49_88476,108,88476,4,49,16,31366619010690,2008,2,2008,31366656010690,31366622010690,1,1,8.9,1,46.259601,-114.860333,98.1926,43,0,NA,NA,NA,NA,NA,700,179.43,20,95,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
20783,16_1_35_85349_3_4,16_1_35_85349,108,85349,3,35,16,37275712010690,2010,2,2010,42506036010690,42506010010690,1,1,6.9,1,46.626577,-114.976197,85.9049,52,0,NA,0,NA,0,NA,700,152.407,15,270,1,NA,6.018046,NA,60001,0,NA,NA,NA,105
20918,16_1_49_80990_2_5,16_1_49_80990,108,80990,2,49,16,37275887010690,2010,2,2011,42514529010690,42514498010690,1,1,10.3,1,45.990882,-114.932127,17.7205,29,0,NA,0,NA,0,NA,595,32.1447,43,250,1,NA,6.018046,NA,23023,0,NA,NA,NA,117
21278,16_1_49_85020_4_16,16_1_49_85020,108,85020,4,49,16,37275914010690,2010,2,2010,42516991010690,42516938010690,1,2,10.5,1,45.609197,-115.92187,114.003,35,0,NA,0,NA,0,NA,700,230.7901,20,290,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
21368,16_1_35_85648_2_20,16_1_35_85648,108,85648,2,35,16,37275707010690,2010,2,2010,42505340010690,42505302010690,1,1,6.8,1,46.753665,-114.777001,88.2673,46,12,2007,0,NA,0,NA,700,177.9231,22,131,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
21413,16_1_49_84025_1_22,16_1_49_84025,108,84025,1,49,16,37275911010690,2010,2,2010,42516599010690,42516571010690,1,2,8.2,1,45.633193,-115.271738,62.303,44,10,2007,0,NA,0,NA,735,138.3721,20,210,1,NA,6.018046,2007,NA,NA,NA,10,NA,117
21889,16_1_49_87034_3_5,16_1_49_87034,122,87034,3,49,16,37275918010690,2010,2,2010,42517495010690,42517466010690,1,2,12.2,1,45.561759,-116.417367,63.5629,73,31,2007,0,NA,0,NA,450,113.4569,15,112,1,NA,6.018046,2007,NA,NA,NA,30,NA,117
22024,16_1_49_88441_1_1,16_1_49_88441,122,88441,1,49,16,37275919010690,2010,2,2010,42517554010690,42517543010690,1,1,5.3,1,45.56155,-116.104759,95.434,67,0,NA,0,NA,0,NA,650,191.4218,15,97,1,NA,6.018046,NA,90002,0,NA,NA,NA,117
22088,16_1_49_88751_3_1,16_1_49_88751,108,88751,3,49,16,37275943010690,2010,2,2010,42519748010690,42519731010690,1,1,5.2,1,45.932885,-115.086624,26.0998,28,12,2008,0,NA,0,NA,700,67.0427,52,142,1,NA,6.018046,NA,26000,0,NA,NA,NA,117
