PLOT,PLOT_COMPOSITE_ID,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,precip,temp,precip_scaled,temp_scaled,BALIVE_scaled
80784,16_1_49_80784,49,16,40390314010690,2013,2,2013,273536008489998,1,2,1,46.52392,-114.52606,1.042817845871898,58,0,NA,0,NA,0,NA,670,316.8571,53,125,1,NA,6.018046,NA,105,8,1,0.125,0.6972999457181644,-0.7103928076191472,0.6972999457181644,-0.7103928076191472,1.042817845871898
80792,16_1_35_80792,35,16,40389906010690,2012,2,2013,272347297489998,1,2,1,46.630932,-115.239597,0.362615382646289,53,22,9999,0,NA,0,NA,670,235.0442,35,45,1,NA,6.018046,2006,105,32,20,0.625,1.4645631763196403,0.23718605570743959,1.4645631763196405,0.2371860557074396,0.362615382646289
80854,16_1_49_80854,49,16,11802037010690,2006,2,2006,11802040010690,1,2,1,46.25783,-114.532861,-1.7158921627266626,29,0,NA,NA,NA,NA,NA,700,0,80,196,1,NA,6.018046,NA,117,1,1,1,-0.11269532777370397,-0.48123985146827236,-0.11269532777370396,-0.4812398514682723,-1.7158921627266626
80870,16_1_35_80870,35,16,4722360010690,2004,2,2004,4722363010690,1,2,1,46.761177000000004,-115.174524,1.8566045917536433,22,0,NA,NA,NA,NA,NA,735,495.7103,63,306,1,NA,6.018046,NA,105,5,1,0.2,2.048933544085548,-0.2954399816957645,2.048933544085548,-0.2954399816957645,1.8566045917536431
80885,16_1_35_80885,35,16,40389883010690,2012,2,2012,195359408020004,1,1,2,46.759398,-115.029719,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,1,NA,6.018046,NA,105,1,0,0,0.29996700224877054,0.3238925237849257,0.29996700224877054,0.3238925237849257,NA
80929,16_1_49_80929,49,16,11802073010690,2006,2,2006,11802076010690,1,1,1,45.78258,-116.096961,-0.4598532786971831,NA,0,NA,NA,NA,NA,NA,595,184.1698,35,245,1,NA,6.018046,NA,117,2,0,0,-0.8749379376035332,0.5902053948261519,-0.8749379376035332,0.5902053948261519,-0.4598532786971831
80960,16_1_49_80960,49,16,40390359010690,2011,2,2011,51042294020004,1,1,1,46.175027,-114.925015,-1.1013731656868406,61,0,NA,0,NA,0,NA,595,101.6734,58,86,1,NA,6.018046,NA,117,2,0,0,-0.9027868805171257,1.8474505108930839,-0.9027868805171256,1.847450510893084,-1.1013731656868406
80964,16_1_49_80964,49,16,11802125010690,2006,2,2006,11802128010690,1,1,1,45.811546,-115.075268,0.6207255848786176,55,0,NA,NA,NA,NA,NA,700,341.6347,20,300,1,NA,6.018046,NA,117,98,11,0.11224489795918367,-0.16353938263203377,-1.088185570991803,-0.16353938263203377,-1.088185570991803,0.6207255848786176
80990,16_1_49_80990,49,16,37275887010690,2010,2,2011,42514498010690,1,2,1,45.990882,-114.932127,-1.4542905933685077,29,0,NA,0,NA,0,NA,595,32.1447,43,250,1,NA,6.018046,NA,117,15,9,0.6,-0.19988676141310002,0.045193014446915855,-0.1998867614131,0.04519301444691585,-1.4542905933685075
81018,16_1_35_81018,35,16,5382377010690,2005,2,2005,5382380010690,1,1,1,46.667174,-114.776673,-0.3373660813200467,19,0,NA,NA,NA,NA,NA,670,195.6272,65,242,1,NA,6.018046,NA,105,14,3,0.21428571428571427,3.2730918429789666,-1.4350117386224992,3.2730918429789666,-1.4350117386224992,-0.3373660813200467
81021,16_1_35_81021,35,16,37275710010690,2010,2,2010,42505804010690,1,2,1,46.720826,-115.499133,0.9609117017386672,85,0,NA,0,NA,0,NA,595,286.8244,40,313,1,NA,6.018046,NA,105,5,1,0.2,1.0477472022231968,0.8379384560825783,1.0477472022231968,0.8379384560825783,0.9609117017386672
81036,16_1_49_81036,49,16,40390560010690,2012,2,2012,195370844020004,1,1,1,45.932262,-115.029978,-0.7499836724555881,20,30,2008,0,NA,0,NA,735,134.8754,72,262,1,NA,6.018046,NA,117,18,11,0.6111111111111112,0.6321396285048974,-1.1191521667337623,0.6321396285048974,-1.1191521667337625,-0.7499836724555881
81069,16_1_49_81069,49,16,11802261010690,2006,2,2006,11802264010690,1,2,1,46.31055,-115.059055,-1.2371334632027946,47,0,NA,NA,NA,NA,NA,670,56.1354,45,133,1,NA,6.018046,NA,117,3,2,0.6666666666666666,1.7149902211359263,-0.75374604165789,1.7149902211359265,-0.75374604165789,-1.2371334632027946
81155,16_1_49_81155,49,16,31363392010690,2008,2,2008,31363395010690,1,1,1,45.777023,-115.970355,-0.21007511708141408,86,0,NA,NA,NA,NA,NA,450,156.9017,45,180,1,NA,6.018046,NA,117,14,1,0.07142857142857142,-1.17229690814139,1.3891443032705821,-1.17229690814139,1.389144303270582,-0.21007511708141408
81199,16_1_49_81199,49,16,40390337010690,2013,2,2013,273521675489998,1,1,1,46.319852,-115.189472,-1.1878158726858912,44,0,NA,0,NA,0,NA,735,70.9702,55,260,1,NA,6.018046,NA,105,23,13,0.5652173913043478,1.0700829990316525,-0.07867366384167333,1.0700829990316525,-0.07867366384167333,-1.1878158726858912
81221,16_1_49_81221,49,16,4726961010690,2004,2,2004,4726964010690,1,1,1,45.288584,-116.427125,0.7676641622578937,54,0,NA,NA,NA,NA,NA,450,241.5124,38,70,1,NA,6.018046,NA,117,12,1,0.08333333333333333,-1.9279030177735201,1.9031902355682346,-1.92790301777352,1.9031902355682344,0.7676641622578937
81266,16_1_57_81266,57,16,35372040010690,2009,2,2009,39521724010690,1,1,1,47.0001,-116.610419,0.12131393563368906,54,0,NA,NA,NA,NA,NA,735,263.6685,30,206,1,NA,74.965282,NA,105,2,0,0,-0.707600494531512,1.5439774296407547,-0.707600494531512,1.543977429640755,0.12131393563368906
81283,16_1_49_81283,49,16,40390449010690,2011,2,2011,51043974020004,1,2,1,45.721258,-115.075746,-0.5828128809285539,42,0,NA,0,NA,0,NA,735,174.5327,10,266,1,NA,6.018046,NA,117,12,10,0.8333333333333334,-0.37615055527980656,-0.8838058914344954,-0.37615055527980656,-0.8838058914344954,-0.5828128809285539
81305,16_1_35_81305,35,16,40389861010690,2012,2,2013,272346273489998,1,2,1,46.899759,-115.431572,0.2365954827185811,81,0,NA,0,NA,0,NA,595,182.8443,45,341,1,NA,6.018046,2002,105,1,1,1,0.0422144171831548,1.0547047739366695,0.0422144171831548,1.0547047739366695,0.2365954827185811
81381,16_1_49_81381,49,16,35371871010690,2009,2,2009,39517590010690,1,1,1,45.814686,-115.658011,-0.7081035058625378,103,0,NA,NA,NA,NA,NA,735,173.5164,10,195,1,NA,6.018046,NA,117,2,0,0,-1.0994477461578618,0.35485926718726096,-1.0994477461578618,0.35485926718726096,-0.7081035058625378
81480,16_1_49_81480,49,16,12279047010690,2007,2,2007,12279050010690,1,2,1,45.728552,-115.202946,-1.7158921627266626,43,30,2006,0,NA,NA,NA,700,0,10,108,1,NA,6.018046,2006,117,18,18,1,0.1807556420878593,-1.3854651854353643,0.1807556420878593,-1.3854651854353643,-1.7158921627266626
81546,16_1_49_81546,49,16,40390475010690,2012,2,2012,195368694020004,1,2,1,45.594189,-115.330815,-1.3571626790727425,53,10,2011,10,2009,10,2008,735,53.0327,24,358,1,NA,6.018046,NA,117,39,33,0.8461538461538461,-1.126915012901453,-0.5803329578425422,-1.126915012901453,-0.5803329578425422,-1.3571626790727425
81553,16_1_49_81553,49,16,4727055010690,2004,2,2004,4727058010690,1,1,1,45.906903,-115.197464,0.9287911241810659,73,0,NA,NA,NA,NA,NA,450,269.156,60,210,1,NA,6.018046,NA,117,8,1,0.125,-0.8781478156151731,0.5902053948261519,-0.8781478156151731,0.5902053948261519,0.928791124181066
81582,16_1_49_81582,49,16,40390318010690,2013,2,2013,273521167489998,1,1,1,46.488346,-114.863029,1.5329585498524765,41,0,NA,0,NA,0,NA,735,312.1193,85,282,1,NA,6.018046,NA,105,2,0,0,-0.6184486614402478,0.7883919028954434,-0.6184486614402478,0.7883919028954434,1.5329585498524765
81610,16_1_35_81610,35,16,11797362010690,2006,2,2006,11797365010690,1,2,1,46.628271,-115.427957,1.1596420900588993,77,0,NA,NA,NA,NA,NA,735,291.3614,56,52,1,NA,6.018046,NA,105,1,1,1,0.24171566362390137,1.3086313020018638,0.24171566362390137,1.3086313020018638,1.1596420900588993
81630,16_1_49_81630,49,16,40390569010690,2011,2,2011,51047523020004,1,2,1,45.532261,-116.05988,0.01572406938644985,49,10,2010,10,2009,10,2008,670,233.7227,45,248,1,NA,6.018046,2008,117,38,28,0.7368421052631579,-0.416531852781353,-0.13441338851682416,-0.416531852781353,-0.13441338851682416,0.01572406938644985
81637,16_1_49_81637,49,16,5387286010690,2005,2,2005,5387289010690,1,1,1,45.649384,-116.096338,-0.05089387265161965,76,0,NA,NA,NA,NA,NA,450,141.8061,58,223,1,NA,6.018046,NA,117,6,0,0,-0.7524516761786558,0.46633901185831456,-0.7524516761786558,0.46633901185831456,-0.05089387265161965
81668,16_1_79_81668,79,16,5396328010690,2005,2,2005,5396331010690,1,1,1,46.981114,-115.147695,-0.14997045697110173,52,0,NA,NA,NA,NA,NA,670,198.8941,40,244,0.960063,NA,6.018046,NA,105,7,0,0,1.7235724647508421,-0.9023858488796708,1.723572464750842,-0.9023858488796708,-0.14997045697110173
81744,16_1_49_81744,49,16,37275864010690,2010,2,2011,42512428010690,1,2,2,46.430141,-114.397221,NA,NA,30,2007,0,NA,0,NA,NA,0,NA,NA,1,NA,6.018046,2007,105,1,1,1,1.1328322953332826,-1.125345485882154,1.1328322953332826,-1.125345485882154,NA
81748,16_1_49_81748,49,16,35371795010690,2009,2,2009,39517753010690,1,1,1,46.496137,-114.97436,-0.3475154043602392,58,0,NA,NA,NA,NA,NA,595,153.2094,65,226,1,NA,6.018046,NA,105,3,0,0,-0.547313636241842,0.7078786063059732,-0.547313636241842,0.7078786063059732,-0.3475154043602392
81764,16_1_49_81764,49,16,37275872010690,2010,2,2010,42513186010690,1,1,1,46.264863,-115.117319,0.8375357927295023,64,0,NA,0,NA,0,NA,670,306.292,32,206,1,NA,6.018046,NA,117,3,0,0,1.255011605722577,-0.5122062995498557,1.255011605722577,-0.5122062995498557,0.8375357927295023
81802,16_1_49_81802,49,16,11802380010690,2006,2,2006,11802383010690,1,1,1,46.076677,-114.865857,-1.0142941883997432,62,0,NA,NA,NA,NA,NA,450,64.2055,75,280,1,NA,6.018046,NA,117,4,0,0,-0.810593610601199,1.6988105560109272,-0.810593610601199,1.6988105560109272,-1.0142941883997432
81808,16_1_49_81808,49,16,40390553010690,2012,2,2013,272346846489998,1,2,1,46.291674,-115.209143,0.09644034379307764,43,0,NA,0,NA,0,NA,670,214.9422,3,0,1,NA,6.018046,NA,105,19,9,0.47368421052631576,1.3903157047765717,-0.4998816786109702,1.3903157047765715,-0.4998816786109702,0.09644034379307764
81914,16_1_49_81914,49,16,40390440010690,2012,2,2012,195367474020004,1,1,1,45.782101,-115.845859,0.9376752879710122,37,0,NA,0,NA,0,NA,735,313.2384,30,172,1,NA,6.018046,NA,117,17,10,0.5882352941176471,-1.1936358881705402,0.7078786063059732,-1.1936358881705402,0.7078786063059732,0.9376752879710122
81927,16_1_49_81927,49,16,11802399010690,2006,2,2006,11802402010690,1,2,1,45.581582,-115.886719,0.002862847229917877,44,0,NA,NA,NA,NA,NA,670,198.1511,15,247,1,NA,6.018046,NA,117,8,5,0.625,0.7325058051806217,-1.2987585696975024,0.7325058051806217,-1.2987585696975024,0.00286284722991787
82035,16_1_49_82035,49,16,40390344010690,2012,2,2012,195365956020004,1,1,1,46.230495,-115.704579,1.701456503766875,39,0,NA,0,NA,0,NA,770,361.6422,26,116,1,NA,6.018046,NA,105,1,0,0,0.05649765185437104,1.6121040879334412,0.05649765185437104,1.6121040879334412,1.701456503766875
82055,16_1_49_82055,49,16,35371888010690,2009,2,2009,39517801010690,1,1,1,45.695221,-116.094698,0.9032207351804591,55,0,NA,NA,NA,NA,NA,670,334.6209,20,320,1,NA,6.018046,NA,117,23,8,0.34782608695652173,-0.44726473175286297,-0.20873351361827844,-0.44726473175286297,-0.20873351361827844,0.9032207351804592
82061,16_1_49_82061,49,16,35371804010690,2009,2,2009,39517893010690,1,2,1,46.391168,-114.470475,-1.7158921627266626,49,32,2006,0,NA,NA,NA,670,0,28,27,1,NA,6.018046,2006,105,12,12,1,0.9694137933577873,-1.1129588475853704,0.9694137933577872,-1.1129588475853704,-1.7158921627266626
82082,16_1_49_82082,49,16,40390332010690,2011,2,2011,51041703020004,1,2,1,46.34775,-114.528916,-1.7158921627266626,NA,30,2007,0,NA,0,NA,700,0,15,248,1,NA,6.018046,2007,105,11,11,1,0.6056423435475888,-0.8961925297312792,0.6056423435475888,-0.8961925297312792,-1.7158921627266626
82092,16_1_49_82092,49,16,5387390010690,2005,2,2005,5387393010690,1,1,1,45.514581,-116.238306,0.7340126977195388,45,0,NA,NA,NA,NA,NA,450,241.9912,47,155,1,NA,6.018046,NA,117,9,1,0.1111111111111111,-0.8111191636184111,1.2405046437091773,-0.8111191636184111,1.2405046437091771,0.7340126977195388
82117,16_1_49_82117,49,16,31363557010690,2008,2,2009,31363559010690,1,1,1,45.989003,-114.679762,0.02991835899102455,45,0,NA,NA,NA,NA,NA,700,258.36,0,0,1,NA,6.018046,NA,117,50,6,0.12,0.060160421979035913,0.08235292933726704,0.06016042197903591,0.08235292933726704,0.02991835899102455
82138,16_1_49_82138,49,16,11802572010690,2006,2,2006,11802575010690,1,1,1,45.776758,-115.709467,0.9654733611123683,39,0,NA,NA,NA,NA,NA,700,461.407,25,220,1,NA,6.018046,NA,117,86,0,0,-1.180163483134675,0.4849191169638661,-1.180163483134675,0.4849191169638661,0.9654733611123684
82173,16_1_49_82173,49,16,31363627010690,2008,2,2008,31363630010690,1,1,1,46.435021,-114.527722,0.27379736498954144,39,0,NA,NA,NA,NA,NA,595,217.7404,30,277,1,NA,6.018046,NA,105,11,3,0.2727272727272727,-0.02257144866592485,-0.2458934285086296,-0.02257144866592485,-0.2458934285086296,0.27379736498954144
82178,16_1_49_82178,49,16,31363678010690,2008,2,2008,31363681010690,1,1,2,45.462209,-115.657572,NA,NA,30,2006,0,NA,NA,NA,NA,0,NA,NA,1,NA,6.018046,NA,117,1,0,0,-1.6512856390355082,1.618297554742209,-1.6512856390355082,1.618297554742209,NA
82187,16_1_49_82187,49,16,40390367010690,2012,2,2012,195366139020004,1,1,2,46.131713,-115.177007,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,1,NA,74.965282,NA,117,2,0,0,0.23053496699223164,-0.2706667051021971,0.23053496699223164,-0.2706667051021971,NA
82202,16_1_49_82202,49,16,40390383010690,2013,2,2013,273507412489998,1,2,1,46.034348,-114.802821,-1.7158921627266626,58,0,NA,0,NA,0,NA,450,0,95,136,1,NA,NA,2005,117,4,4,1,-0.6348033511498439,1.3210179402986475,-0.6348033511498439,1.3210179402986475,-1.7158921627266626
82203,16_1_49_82203,49,16,31363690010690,2008,2,2008,31363693010690,1,2,1,45.816389,-115.000219,0.5070753108060038,51,0,NA,NA,NA,NA,NA,670,283.0726,42,320,1,NA,6.018046,NA,117,1,1,1,-0.09405574161968074,-0.8404525097353764,-0.09405574161968074,-0.8404525097353764,0.5070753108060038
82233,16_1_49_82233,49,16,37275947010690,2010,2,2010,42520012010690,1,1,1,45.455373,-116.233338,-0.2853277340957869,67,31,2006,0,NA,0,NA,450,129.9895,40,59,1,NA,6.018046,NA,117,6,0,0,-0.941028809805641,1.0051582207495346,-0.941028809805641,1.0051582207495346,-0.2853277340957869
82352,16_1_49_82352,49,16,5387446010690,2005,2,2005,5387449010690,1,1,1,45.547069,-115.271366,-1.1492602552545155,66,0,NA,NA,NA,NA,NA,450,59.7809,62,141,1,NA,74.965282,NA,117,4,1,0.25,-1.670978808300233,1.797903957705949,-1.670978808300233,1.797903957705949,-1.1492602552545157
82399,16_1_49_82399,49,16,31363918010690,2008,2,2008,31363921010690,1,1,1,45.59077,-115.468951,0.007117443448366626,44,0,NA,NA,NA,NA,NA,670,238.5906,35,120,1,NA,6.018046,NA,117,30,14,0.4666666666666667,-1.1538934699259724,-1.4783649726612422,-1.1538934699259724,-1.4783649726612422,0.00711744344836662
82408,16_1_49_82408,49,16,37275904010690,2010,2,2010,42515854010690,1,1,1,45.771192,-115.598536,-1.159247189126065,26,0,NA,0,NA,0,NA,735,86.5216,20,103,0.993133,NA,74.965282,NA,117,2,0,0,-1.0888931305557292,0.3238925237849257,-1.0888931305557292,0.3238925237849257,-1.159247189126065
82409,16_1_49_82409,49,16,12279305010690,2007,2,2007,12279308010690,1,1,1,46.392983,-114.593577,-0.4549609359255179,56,0,NA,NA,NA,NA,NA,700,161.0711,34,159,1,NA,6.018046,NA,105,36,10,0.2777777777777778,0.24251328218576482,-0.5865262769909341,0.2425132821857648,-0.5865262769909341,-0.4549609359255179
82476,16_1_49_82476,49,16,37275903010690,2010,2,2010,42515675010690,1,2,1,45.777186,-115.908812,-0.38601787624551365,65,22,9999,0,NA,0,NA,595,175.1961,48,325,1,NA,6.018046,2005,117,9,7,0.7777777777777778,-1.2747297921259595,1.3334045785954312,-1.2747297921259595,1.3334045785954312,-0.3860178762455137
82508,16_1_49_82508,49,16,40390410010690,2011,2,2011,51043016020004,1,2,2,45.899294,-115.064258,NA,NA,30,2010,0,NA,0,NA,NA,0,NA,NA,1,NA,6.018046,NA,117,1,1,1,0.21174758195355667,-0.7909059565482416,0.21174758195355667,-0.7909059565482416,NA
82510,16_1_79_82510,79,16,12287437010690,2007,2,2007,12287440010690,1,2,1,46.985931,-115.095234,0.5677143789076687,57,0,NA,NA,NA,NA,NA,670,239.241,37,180,1,NA,6.018046,NA,105,9,6,0.6666666666666666,2.13504208254494,-0.9643190403635897,2.13504208254494,-0.9643190403635896,0.5677143789076687
82564,16_1_49_82564,49,16,12279560010690,2007,2,2007,12279563010690,1,2,1,45.877456,-115.832901,0.4553440267369965,47,0,NA,NA,NA,NA,NA,735,274.8078,30,90,1,NA,6.018046,NA,117,7,5,0.7142857142857143,-0.9080919522148201,0.7574251594931081,-0.90809195221482,0.7574251594931081,0.4553440267369965
