...1,TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,precip,temp
95,16_1_35_84293_4_21,16_1_35_84293,119,84293,4,35,16,4723051010690,2004,2,2004,4723101010690,4723054010690,1,1,1.3,1,46.412509,-115.701206,103.4722,61,0,NA,NA,NA,NA,NA,770,201.2343,51,270,1,NA,74.965282,NA,NA,NA,NA,NA,NA,105,1,0,0,1219.346435546875,6.149999618530273
100,16_1_35_84726_1_7,16_1_35_84726,108,84726,1,35,16,4723114010690,2004,2,2004,4723130010690,4723117010690,1,1,9.9,1,46.626195,-115.179415,153.0199,79,0,NA,NA,NA,NA,NA,595,247.9592,64,13,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,4,2,0.5,1471.7674560546875,5.039999961853027
101,16_1_35_84726_1_9,16_1_35_84726,108,84726,1,35,16,4723114010690,2004,2,2004,4723132010690,4723117010690,1,1,11.5,1,46.626195,-115.179415,153.0199,79,0,NA,NA,NA,NA,NA,595,247.9592,64,13,1,NA,6.018046,NA,90005,0,NA,NA,NA,105,4,2,0.5,1471.7674560546875,5.039999961853027
116,16_1_35_84726_3_11,16_1_35_84726,108,84726,3,35,16,4723114010690,2004,2,2004,4723150010690,4723117010690,1,2,9.3,1,46.626195,-115.179415,153.0199,79,0,NA,NA,NA,NA,NA,595,247.9592,64,13,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105,4,2,0.5,1471.7674560546875,5.039999961853027
128,16_1_35_85188_1_6,16_1_35_85188,119,85188,1,35,16,4723200010690,2004,2,2004,4723217010690,4723203010690,1,1,11.7,1,46.628853,-115.499463,127.913,63,0,NA,NA,NA,NA,NA,735,211.0867,45,13,0.75,NA,6.018046,NA,0,NA,NA,NA,NA,105,3,1,0.3333333333333333,1164.9534912109375,7.359999656677246
135,16_1_35_85188_3_12,16_1_35_85188,119,85188,3,35,16,4723200010690,2004,2,2004,4723227010690,4723203010690,1,1,1,1,46.628853,-115.499463,127.913,63,0,NA,NA,NA,NA,NA,735,211.0867,45,13,0.75,NA,74.965282,NA,NA,NA,NA,NA,NA,105,3,1,0.3333333333333333,1164.9534912109375,7.359999656677246
174,16_1_35_87627_3_9,16_1_35_87627,108,87627,3,35,16,4723524010690,2004,2,2004,4723546010690,4723527010690,1,1,19.3,1,46.622196,-114.852007,12.226,49,30,2000,0,NA,NA,NA,670,17.2325,7,214,1,NA,6.018046,NA,30000,0,NA,NA,NA,105,2,1,0.5,1745.6795654296875,3.6599998474121094
218,16_1_35_80870_1_15,16_1_35_80870,119,80870,1,35,16,4722360010690,2004,2,2004,4722384010690,4722363010690,1,2,11,1,46.761177000000004,-115.174524,241.9956,22,0,NA,NA,NA,NA,NA,735,495.7103,63,306,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105,5,1,0.2,1720.4581298828125,4.389999866485596
234,16_1_35_80870_2_11,16_1_35_80870,119,80870,2,35,16,4722360010690,2004,2,2004,4722405010690,4722363010690,1,1,6.1,1,46.761177000000004,-115.174524,241.9956,22,0,NA,NA,NA,NA,NA,735,495.7103,63,306,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,5,1,0.2,1720.4581298828125,4.389999866485596
257,16_1_35_80870_3_5,16_1_35_80870,108,80870,3,35,16,4722360010690,2004,2,2004,4722437010690,4722363010690,1,1,13.1,1,46.761177000000004,-115.174524,241.9956,22,0,NA,NA,NA,NA,NA,735,495.7103,63,306,1,NA,6.018046,NA,90005,0,NA,NA,NA,105,5,1,0.2,1720.4581298828125,4.389999866485596
258,16_1_35_80870_3_6,16_1_35_80870,119,80870,3,35,16,4722360010690,2004,2,2004,4722438010690,4722363010690,1,1,7.8,1,46.761177000000004,-115.174524,241.9956,22,0,NA,NA,NA,NA,NA,735,495.7103,63,306,1,NA,6.018046,NA,60001,0,NA,NA,NA,105,5,1,0.2,1720.4581298828125,4.389999866485596
259,16_1_35_80870_3_7,16_1_35_80870,108,80870,3,35,16,4722360010690,2004,2,2004,4722439010690,4722363010690,1,1,18.4,1,46.761177000000004,-115.174524,241.9956,22,0,NA,NA,NA,NA,NA,735,495.7103,63,306,1,NA,6.018046,NA,90005,0,NA,NA,NA,105,5,1,0.2,1720.4581298828125,4.389999866485596
287,16_1_49_80045_1_1,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726512010690,4726503010690,1,1,4.6,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,74.965282,NA,NA,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
288,16_1_49_80045_1_2,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726513010690,4726503010690,1,1,4,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,74.965282,NA,NA,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
289,16_1_49_80045_1_3,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726514010690,4726503010690,1,1,3.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,74.965282,NA,NA,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
290,16_1_49_80045_1_7,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726517010690,4726503010690,1,1,5.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
291,16_1_49_80045_1_9,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726519010690,4726503010690,1,1,5.7,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
292,16_1_49_80045_1_10,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726520010690,4726503010690,1,1,5.2,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
293,16_1_49_80045_1_11,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726521010690,4726503010690,1,1,5.5,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
294,16_1_49_80045_1_12,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726522010690,4726503010690,1,1,5.3,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
295,16_1_49_80045_1_13,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726523010690,4726503010690,1,1,5.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
296,16_1_49_80045_1_14,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726524010690,4726503010690,1,1,7.7,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
297,16_1_49_80045_1_16,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726525010690,4726503010690,1,1,5.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
298,16_1_49_80045_1_17,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726526010690,4726503010690,1,1,6.7,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
299,16_1_49_80045_1_21,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726530010690,4726503010690,1,1,5.2,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
300,16_1_49_80045_1_19,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726528010690,4726503010690,1,1,5.3,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
301,16_1_49_80045_1_20,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726529010690,4726503010690,1,1,5.6,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
302,16_1_49_80045_1_22,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726531010690,4726503010690,1,1,5.1,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
303,16_1_49_80045_1_23,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726532010690,4726503010690,1,1,6.4,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
304,16_1_49_80045_1_24,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726533010690,4726503010690,1,1,6,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
305,16_1_49_80045_1_27,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726536010690,4726503010690,1,2,5.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
306,16_1_49_80045_1_28,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726537010690,4726503010690,1,1,6.8,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
307,16_1_49_80045_1_29,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726538010690,4726503010690,1,1,5.1,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
308,16_1_49_80045_1_30,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726539010690,4726503010690,1,1,5,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,22000,0,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
309,16_1_49_80045_1_32,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726541010690,4726503010690,1,1,5.2,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
310,16_1_49_80045_1_36,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726545010690,4726503010690,1,1,6.3,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
311,16_1_49_80045_1_37,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726546010690,4726503010690,1,1,8.1,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
312,16_1_49_80045_1_38,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726547010690,4726503010690,1,1,7.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,22000,0,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
313,16_1_49_80045_1_40,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726549010690,4726503010690,1,1,6.2,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
314,16_1_49_80045_1_41,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726550010690,4726503010690,1,1,5.2,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
315,16_1_49_80045_1_45,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726551010690,4726503010690,1,1,4.9,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,74.965282,NA,NA,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
316,16_1_49_80045_1_48,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726552010690,4726503010690,1,1,5.2,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,22000,0,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
317,16_1_49_80045_1_49,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726553010690,4726503010690,1,1,8.7,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
318,16_1_49_80045_1_50,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726554010690,4726503010690,1,1,5.5,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,22000,0,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
319,16_1_49_80045_1_51,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726555010690,4726503010690,1,1,6.5,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,0,NA,NA,NA,NA,117,142,4,0.02816901408450704,1074.1251220703125,2.6399998664855957
